daySent,dayEffective,campaignId,ucsBid,campaignBid,won,winner,cost,actualBid,effectiveBid
"8","10","1795829770","0.41","416","false","null","0.00","0.00","0.00"
"11","13","828868070","0.28","95","false","null","0.00","0.00","0.00"
"29","31","1221400779","0.05","881","false","null","0.00","0.00","0.00"
"10","12","1080595951","0.30","1592","false","null","0.00","0.00","0.00"
"5","7","1043239079","0.05","1584","true","adv6","1584.00","0.00","0.00"
"31","33","1679791889","0.05","198","false","null","0.00","0.00","0.00"
"21","23","315326809","0.13","380","false","null","0.00","0.00","0.00"
"30","32","539842361","0.05","165","false","null","0.00","0.00","0.00"
"36","38","1650516855","0.05","1337","false","null","0.00","0.00","0.00"
"25","27","506633002","0.09","229","false","null","0.00","0.00","0.00"
"45","47","313990959","0.05","888","false","null","0.00","0.00","0.00"
"15","17","1944590961","0.24","91","false","null","0.00","0.00","0.00"
"23","25","1014211690","0.11","2636","false","null","0.00","0.00","0.00"
"28","30","709032920","0.05","17","false","null","0.00","0.00","0.00"
"18","20","923090072","0.22","1588","false","null","0.00","0.00","0.00"
"24","26","859665058","0.10","486","false","null","0.00","0.00","0.00"
"16","18","1532205424","0.05","3724","true","adv6","3724.00","0.00","0.00"
"27","29","501538112","0.05","427","false","null","0.00","0.00","0.00"
"33","35","2058819743","0.05","354","false","null","0.00","0.00","0.00"
"12","14","1979133916","0.27","5004","false","null","0.00","0.00","0.00"
"37","39","1266667600","0.05","366","false","null","0.00","0.00","0.00"
"41","43","1765195524","0.05","460","false","null","0.00","0.00","0.00"
"19","21","74598215","0.18","1037","false","null","0.00","0.00","0.00"
"1","3","5496548","1.50","1970","false","null","0.00","0.00","0.00"
"3","5","993915786","0.75","12600","false","null","0.00","0.00","0.00"
"4","6","922429379","0.65","9594","false","null","0.00","0.00","0.00"
"13","15","576531046","0.26","1637","false","null","0.00","0.00","0.00"
"14","16","717703930","0.25","1975","false","null","0.00","0.00","0.00"
"7","9","1338636151","0.56","1001","false","null","0.00","0.00","0.00"
"48","50","693982108","0.05","7","false","null","0.00","0.00","0.00"
"34","36","832083037","0.05","523","false","null","0.00","0.00","0.00"
"35","37","1034899946","0.05","1119","false","null","0.00","0.00","0.00"
"32","34","1239868960","0.05","1965","false","null","0.00","0.00","0.00"
"0","2","990968155","1.50","8002","false","null","0.00","0.00","0.00"
"22","24","1622155518","0.12","1317","false","null","0.00","0.00","0.00"
"38","40","1055072183","0.05","198","false","null","0.00","0.00","0.00"
"44","46","1280563333","0.05","81","false","null","0.00","0.00","0.00"
"2","4","1623427476","1.50","300","false","null","0.00","0.00","0.00"
"17","19","1961566769","0.25","1740","false","null","0.00","0.00","0.00"
"20","22","1859480330","0.16","5587","false","null","0.00","0.00","0.00"
"42","44","1725887930","0.05","262","false","null","0.00","0.00","0.00"
"47","49","1088597387","0.05","3930","false","null","0.00","0.00","0.00"
"40","42","4602293","0.05","330","false","null","0.00","0.00","0.00"
"6","8","2000479306","0.76","8422","false","null","0.00","0.00","0.00"
"43","45","1793661969","0.05","346","false","null","0.00","0.00","0.00"
"46","48","1180576422","0.05","1243","false","null","0.00","0.00","0.00"
"39","41","1096397730","0.05","2427","false","null","0.00","0.00","0.00"
"26","28","837658897","0.06","1723","false","null","0.00","0.00","0.00"
"9","11","931138301","0.34","2563","false","null","0.00","0.00","0.00"
